plen,bmh,bmo,dmb,kmp,kra
4,0.251,0.255,0.335,0.184,1.129
8,0.117,0.120,0.306,0.169,0.527
12,0.084,0.086,0.327,0.182,0.563
16,0.062,0.063,0.314,0.173,0.539
20,0.053,0.054,0.319,0.175,0.553
24,0.046,0.047,0.331,0.182,0.569
28,0.036,0.037,0.302,0.165,0.517
32,0.034,0.035,0.319,0.175,0.547
36,0.031,0.032,0.315,0.173,0.541
40,0.030,0.031,0.328,0.181,0.565
44,0.029,0.029,0.341,0.188,0.588
48,0.026,0.026,0.320,0.177,0.554
52,0.021,0.021,0.276,0.152,0.475
56,0.023,0.024,0.326,0.180,0.561
60,0.020,0.020,0.294,0.162,0.505
64,0.019,0.019,0.288,0.159,0.495
68,0.019,0.019,0.297,0.164,0.512
72,0.019,0.020,0.320,0.176,0.549
76,0.017,0.017,0.290,0.160,0.500
80,0.019,0.019,0.336,0.185,0.578
84,0.016,0.017,0.298,0.164,0.512
88,0.017,0.017,0.314,0.172,0.539
92,0.016,0.016,0.312,0.171,0.539
96,0.016,0.016,0.310,0.171,0.534
100,0.015,0.015,0.296,0.163,0.508
